"Date","Amount","Charge","Utr","Status"
"07 May 2024 22:42:34","2000","10","412807410351","TRANSACTION_CREDIT"
"07 May 2024 22:42:05","500","2.5","412864075316","TRANSACTION_CREDIT"
"07 May 2024 22:41:47","500","2.5","412809993078","TRANSACTION_CREDIT"
"07 May 2024 22:40:54","1000","5","412884903624","TRANSACTION_CREDIT"
"07 May 2024 22:40:46","2000","10","412865739385","TRANSACTION_CREDIT"
"07 May 2024 22:40:40","2001","10.01","412892404657","TRANSACTION_CREDIT"
"07 May 2024 22:16:32","500","2.5","412839901585","TRANSACTION_CREDIT"
"07 May 2024 22:16:20","800","4","412887493159","TRANSACTION_CREDIT"
"07 May 2024 22:15:31","2000","10","412856851596","TRANSACTION_CREDIT"
"07 May 2024 22:14:50","500","2.5","412841446117","TRANSACTION_CREDIT"
"07 May 2024 22:14:11","10000","50","412842896885","TRANSACTION_CREDIT"
"07 May 2024 22:10:37","500","2.5","412873038682","TRANSACTION_CREDIT"
"07 May 2024 21:19:21","600","3","412842830692","TRANSACTION_CREDIT"
"07 May 2024 21:18:13","500","2.5","412827761323","TRANSACTION_CREDIT"
"07 May 2024 21:17:51","2000","10","412818147258","TRANSACTION_CREDIT"
"07 May 2024 21:17:27","1880","9.4","412851994473","TRANSACTION_CREDIT"
"07 May 2024 21:17:24","2000","10","412843882018","TRANSACTION_CREDIT"
"07 May 2024 21:17:22","500","2.5","412808990343","TRANSACTION_CREDIT"
"07 May 2024 21:15:41","500","2.5","412804554003","TRANSACTION_CREDIT"
"07 May 2024 17:28:51","500","2.5","412871242301","TRANSACTION_CREDIT"
"07 May 2024 17:28:05","800","4","412809117896","TRANSACTION_CREDIT"
"07 May 2024 17:27:52","500","2.5","412898359539","TRANSACTION_CREDIT"
"07 May 2024 17:25:40","2500","12.5","412815965425","TRANSACTION_CREDIT"
"07 May 2024 17:23:32","600","3","412809005753","TRANSACTION_CREDIT"
"07 May 2024 17:23:07","2000","10","412879857779","TRANSACTION_CREDIT"
"07 May 2024 17:23:00","2000","10","412885366014","TRANSACTION_CREDIT"
"07 May 2024 17:22:56","1000","5","412846004849","TRANSACTION_CREDIT"
"07 May 2024 17:22:45","550","2.75","412812088149","TRANSACTION_CREDIT"
"07 May 2024 17:22:45","2000","10","412864785684","TRANSACTION_CREDIT"
"07 May 2024 17:22:45","2000","10","412807620523","TRANSACTION_CREDIT"
"07 May 2024 17:22:31","2000","10","412844017784","TRANSACTION_CREDIT"
"07 May 2024 17:20:50","1800","9","412802365324","TRANSACTION_CREDIT"
"07 May 2024 17:18:02","1850","9.25","412838969839","TRANSACTION_CREDIT"
"07 May 2024 17:17:23","520","2.6","412849608400","TRANSACTION_CREDIT"
"07 May 2024 17:17:12","500","2.5","412870719755","TRANSACTION_CREDIT"
"07 May 2024 17:16:25","2500","12.5","412847838558","TRANSACTION_CREDIT"
"07 May 2024 17:15:59","500","2.5","412855829393","TRANSACTION_CREDIT"
"07 May 2024 17:15:30","1000","5","412887533733","TRANSACTION_CREDIT"
"07 May 2024 17:15:19","500","2.5","412828129642","TRANSACTION_CREDIT"
"07 May 2024 17:14:48","1500","7.5","412869154435","TRANSACTION_CREDIT"
"07 May 2024 17:13:06","2000","10","412855248312","TRANSACTION_CREDIT"
"07 May 2024 17:13:05","550","2.75","412851622761","TRANSACTION_CREDIT"
